creditor,list_rec
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
267 JOHN KNOX RD STE 200
TALLAHASSEE FL323036692","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n267 JOHN KNOX RD STE 200\nTALLAHASSEE FL323036692']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
267 JOHN KNOX RD STE 200
TALLAHASSEE FL323036692","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n267 JOHN KNOX RD STE 200\nTALLAHASSEE FL323036692']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
267 JOHN KNOX RD STE 200
TALLAHASSEE FL323036692","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n267 JOHN KNOX RD STE 200\nTALLAHASSEE FL323036692']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
267 JOHN KNOX RD STE 200
TALLAHASSEE FL323036692","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n267 JOHN KNOX RD STE 200\nTALLAHASSEE FL323036692']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
267 JOHN KNOX RD STE 200
TALLAHASSEE FL323036692","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n267 JOHN KNOX RD STE 200\nTALLAHASSEE FL323036692']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
267 JOHN KNOX RD STE 200
TALLAHASSEE FL323036692","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n267 JOHN KNOX RD STE 200\nTALLAHASSEE FL323036692']"
"LEASECOMM CORPORATION
10 M COMMERCE WAY
WOBURN, MA 01801","['LEASECOMM CORPORATION\n10 M COMMERCE WAY\nWOBURN, MA 01801']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
267 JOHN KNOX RD STE 200
TALLAHASSEE FL323036692","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n267 JOHN KNOX RD STE 200\nTALLAHASSEE FL323036692']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"AMERICAN EXPRESS BANK FSB
C/O MELISSA SANTAMARIA
555 SAINT CHARLES DRIVE, SUITE 100
THOUSAND OAKS, CA 91360","['AMERICAN EXPRESS BANK FSB\nC/O MELISSA SANTAMARIA\n555 SAINT CHARLES DRIVE, SUITE 100\nTHOUSAND OAKS, CA 91360']"
"MAR-CONE APPLIANCE PARTS COMPANY
ONE CITY PLACE
400
ST. LOUIS, MO 63141","['MAR-CONE APPLIANCE PARTS COMPANY\nONE CITY PLACE\n400\nST. LOUIS, MO 63141']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MELBOURNE SERVICE CENTER
6300 N WICKHAM RD STE 133A
MELBOURNE FL329402029","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMELBOURNE SERVICE CENTER\n6300 N WICKHAM RD STE 133A\nMELBOURNE FL329402029']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MELBOURNE SERVICE CENTER
6300 N WICKHAM RD STE 133A
MELBOURNE FL329402029","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMELBOURNE SERVICE CENTER\n6300 N WICKHAM RD STE 133A\nMELBOURNE FL329402029']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI NORTH SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI NORTH SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 11920100","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 11920100']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
W. PALM BEACH SERVICE CENTER
2468 METROCENTRE BLVD.
WEST PALM BEACH, FL 334073199","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nW. PALM BEACH SERVICE CENTER\n2468 METROCENTRE BLVD.\nWEST PALM BEACH, FL 334073199']"
"ROBERT STANLEY LEMASTER
P O BOX 992
HOBE SOUND FL 33475",['ROBERT STANLEY LEMASTER\nP O BOX 992\nHOBE SOUND FL 33475']
"ROBERT STANLEY LEMASTER
P O BOX 992
HOBE SOUND FL 33475",['ROBERT STANLEY LEMASTER\nP O BOX 992\nHOBE SOUND FL 33475']
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE A-250
JACKSONVILLE FL322096804","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE A-250\nJACKSONVILLE FL322096804']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE A-250
JACKSONVILLE FL322096804","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE A-250\nJACKSONVILLE FL322096804']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"DFS DIVISION OF WORKERS COMPENSATION
200 EAST GAINES STREET
TALLAHASSEE, FL 32399-4228","['DFS DIVISION OF WORKERS COMPENSATION\n200 EAST GAINES STREET\nTALLAHASSEE, FL 32399-4228']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TAMPA SERVICE CENTER
6302 E DR MARTIN LUTHER KING JR BLVD S
TAMPA FL336191166","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTAMPA SERVICE CENTER\n6302 E DR MARTIN LUTHER KING JR BLVD S\nTAMPA FL336191166']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
OUT OF STATE COLLECTIONS UNIT
1415 W US HIGHWAY 90 STE 115
LAKE CITY FL320556123","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nOUT OF STATE COLLECTIONS UNIT\n1415 W US HIGHWAY 90 STE 115\nLAKE CITY FL320556123']"
"YELLOWBOOK, INC. FKA YELLOW BOOK SALES AND DISTRIBUTION
C/O SPRECHMAN & ASSOCIATES, P.A.
2775 SUNNY ISLES BLVD #100
NORTH MIAMI BEACH, FL 33160","['YELLOWBOOK, INC. FKA YELLOW BOOK SALES AND DISTRIBUTION\nC/O SPRECHMAN & ASSOCIATES, P.A.\n2775 SUNNY ISLES BLVD #100\nNORTH MIAMI BEACH, FL 33160']"
"YELLOWBOOK, INC. FKA YELLOW BOOK SALES AND DISTRIBUTION
C/O SPRECHMAN & ASSOCIATES, P.A.
2775 SUNNY ISLES BLVD #100
NORTH MIAMI BEACH, FL 33160","['YELLOWBOOK, INC. FKA YELLOW BOOK SALES AND DISTRIBUTION\nC/O SPRECHMAN & ASSOCIATES, P.A.\n2775 SUNNY ISLES BLVD #100\nNORTH MIAMI BEACH, FL 33160']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE A-250
JACKSONVILLE FL322096804","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE A-250\nJACKSONVILLE FL322096804']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE A-250
JACKSONVILLE FL322096804","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE A-250\nJACKSONVILLE FL322096804']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"DUVAL PAINT AND DECORATING, INC.
2855 ST. JOHNS BLUFF ROAD S.
JACKSONVILLE, FL 32246","['DUVAL PAINT AND DECORATING, INC.\n2855 ST. JOHNS BLUFF ROAD S.\nJACKSONVILLE, FL 32246']"
"DFS, DIVISION OF WORKERS� COMPENSATION
200 EAST GAINES STREET
TALLAHASSEE, FL 32399-4228","['DFS, DIVISION OF WORKERS� COMPENSATION\n200 EAST GAINES STREET\nTALLAHASSEE, FL 32399-4228']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
COCOA SERVICE CENTER
2428 CLEARLAKE RD STE M
COCOA FL329225731","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCOCOA SERVICE CENTER\n2428 CLEARLAKE RD STE M\nCOCOA FL329225731']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"ARDAMAN & ASSOCIATES, INC.
8008 SOUTH ORANGE AVE.
ORLANDO, FL 32809","['ARDAMAN & ASSOCIATES, INC.\n8008 SOUTH ORANGE AVE.\nORLANDO, FL 32809']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"UNITED AUTOMOBILE INSURANCE COMPANY
1313 NW 167TH STREET
MIAMI GARDENS, FLORIDA 33169","['UNITED AUTOMOBILE INSURANCE COMPANY\n1313 NW 167TH STREET\nMIAMI GARDENS, FLORIDA 33169']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"EASTERN FUNDING LLC
213 W. 35TH STREET
10TH FLOOR
NEW YORK, NEW YORK, 10001","['EASTERN FUNDING LLC\n213 W. 35TH STREET\n10TH FLOOR\nNEW YORK, NEW YORK, 10001']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"MASTKO, INC.
C/O SPRECHMAN & ASSOCIATES, P.A.
2775 SUNNY ISLES BLVD 100
NORTH MIAMI BEACH, FL 33160","['MASTKO, INC.\nC/O SPRECHMAN & ASSOCIATES, P.A.\n2775 SUNNY ISLES BLVD 100\nNORTH MIAMI BEACH, FL 33160']"
STATE OF FLORIDA0045060,['STATE OF FLORIDA0045060']
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"FUNDATION GROUP LLC
11501 SUNSET HILLS RD
#100
RESTON, VA 20190","['FUNDATION GROUP LLC\n11501 SUNSET HILLS RD\n#100\nRESTON, VA 20190']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TAMPA SERVICE CENTER
6302 E DR MARTIN LUTHER KING JR BLVD S
TAMPA FL336191166","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTAMPA SERVICE CENTER\n6302 E DR MARTIN LUTHER KING JR BLVD S\nTAMPA FL336191166']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TAMPA SERVICE CENTER
6302 E DR MARTIN LUTHER KING JR BLVD S
TAMPA FL336191166","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTAMPA SERVICE CENTER\n6302 E DR MARTIN LUTHER KING JR BLVD S\nTAMPA FL336191166']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TAMPA SERVICE CENTER
6302 E DR MARTIN LUTHER KING JR BLVD S
TAMPA FL336191166","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTAMPA SERVICE CENTER\n6302 E DR MARTIN LUTHER KING JR BLVD S\nTAMPA FL336191166']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
WEST PALM BEACH SERVICE CENTER
2468 METROCENTRE BLVD
WEST PALM BEACH FL334073105","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nWEST PALM BEACH SERVICE CENTER\n2468 METROCENTRE BLVD\nWEST PALM BEACH FL334073105']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
WEST PALM BEACH SERVICE CENTER
2468 METROCENTRE BLVD
WEST PALM BEACH FL334073105","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nWEST PALM BEACH SERVICE CENTER\n2468 METROCENTRE BLVD\nWEST PALM BEACH FL334073105']"
"WELLS FARGO FINANCIAL LEASING, INC.
800 WALNUT STREET
DES MOINES, IA 50309","['WELLS FARGO FINANCIAL LEASING, INC.\n800 WALNUT STREET\nDES MOINES, IA 50309']"
"FCCI INSURANCE COMPANY
6300 UNIVERSITY DRIVE
SARASOTA, FL 34242","['FCCI INSURANCE COMPANY\n6300 UNIVERSITY DRIVE\nSARASOTA, FL 34242']"
"Y.D.B. THREE LAKES LLC
210-71ST STREET
309
MIAMI BEACH, FL, 33141","['Y.D.B. THREE LAKES LLC\n210-71ST STREET\n309\nMIAMI BEACH, FL, 33141']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"334071013USL08000114782TMENT OF REVENUE
WEST PALM BEACH SERVICE CENTER
2468 METROCENTRE BLVD
WEST PALM BEACH FL334073105",['334071013USL08000114782TMENT OF REVENUE\nWEST PALM BEACH SERVICE CENTER\n2468 METROCENTRE BLVD\nWEST PALM BEACH FL334073105']
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CLEARWATER SERVICE CENTER
19337 US HIGHWAY 19 N STE 200
CLEARWATER FL337643149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCLEARWATER SERVICE CENTER\n19337 US HIGHWAY 19 N STE 200\nCLEARWATER FL337643149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CLEARWATER SERVICE CENTER
19337 US HIGHWAY 19 N STE 200
CLEARWATER FL337643149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCLEARWATER SERVICE CENTER\n19337 US HIGHWAY 19 N STE 200\nCLEARWATER FL337643149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MAITLAND SERVICE CENTER
2301 MAITLAND CENTER PKWY STE 160
MAITLAND FL327514192","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMAITLAND SERVICE CENTER\n2301 MAITLAND CENTER PKWY STE 160\nMAITLAND FL327514192']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MAITLAND SERVICE CENTER
2301 MAITLAND CENTER PKWY STE 160
MAITLAND FL327514192","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMAITLAND SERVICE CENTER\n2301 MAITLAND CENTER PKWY STE 160\nMAITLAND FL327514192']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
ORLANDO SERVICE CENTER
400 W ROBINSON ST STE N302
ORLANDO FL328011759","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nORLANDO SERVICE CENTER\n400 W ROBINSON ST STE N302\nORLANDO FL328011759']"
